"","shortnam","avexpr","logem4","avelf","catho80","muslim80","legor_fr","no_cpm80","f_brit","f_french","temp1","temp2","temp3","temp4","temp5","humid1","humid2","humid3","humid4","steplow","deslow","stepmid","desmid","drystep","drywint","edes1975","euro1900","landlock","goldm","iron","silv","zinc","oilres","malfal94","leb95","imr95","meantemp","lt100km","yellow","lat_abst","ind_time","exconst_01","democ_01","exconst_00","democ_00","logpgp95","loghjypl","baseco","neo_europe"
"57","GMB",8.27272701263428,7.29301786422729,0.7803704,1.9,84.8,0,12.9,1,0,24,33,41,7,21,66,95,26,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,122,25.66596,0.3997,1,0.1475556,1965,5,8,NA,NA,7.40908568080078,-2.56206556911694,TRUE,FALSE
"58","GNB",4.54545450210571,5.10388278961182,0.85,10.2,38.3,1,50.9,0,0,28,35,43,13,21,70,87,45,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,0.1333333,1974,3,0,NA,NA,7.08728225695111,-3.20232250426663,FALSE,FALSE
"59","GRC",7.81818199157715,NA,0.0777778,0.4,1.5,1,98,0,0,19,21,43,-6,16,47,78,34,63,0,0,0,0,0,0,100,100,0,0,0,0,0,4010,NA,NA,NA,NA,NA,0,0.4333333,1827,1,0,7,10,9.64181828351407,-0.863677587233224,FALSE,FALSE
"60","GTM",5.13636350631714,4.26268005371094,0.4766667,94,0,1,1.1,0,0,19,28,32,5,12,81,92,51,72,0,0,0,0,0,0,20,20,0,0,0,0,0,2700,0.012,64.04,46,21.7,0.425458,1,0.17,1839,1,1,3,4,8.327401552298,-2.19557359150552,TRUE,FALSE
"61","GUY",5.88636350631714,3.47134518623352,0.2377778,18,9,0,8.1,1,0,27,31,34,20,22,83,93,69,77,0,0,0,0,0,0,2,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,0.0555556,1966,7,5,NA,NA,8.50521754044709,-2.32136827755268,TRUE,FALSE
"62","HKG",8.1363639831543,2.70136117935181,0.2368212,7.9,0.5,0,4.1,1,0,21,26,36,0,22,73,87,60,78,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,NA,NA,22.6,1,0,0.2461111,NA,NA,NA,NA,NA,10.1160989707758,-0.689111507419299,TRUE,FALSE
"63","HND",5.31818199157715,4.35799026489258,0.0973593,95.8,0.1,1,55,0,0,22,25,30,14,18,79,91,43,70,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0.0108,69.4,35,25.4,0.668602,1,0.1666667,1839,3,1,5,6,7.75644797895671,-2.23384839042192,TRUE,FALSE
"64","HRV",NA,NA,NA,76.5,1.2,0,84.1,0,0,12,20,42,-25,8,71,85,46,76,0,0,0,0,0,0,100,100,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0.5011111,1991,3,1,NA,NA,8.98666896366608,NA,FALSE,FALSE
"65","HTI",3.72727274894714,4.86753463745117,0.0644048,82.6,0,1,1.499997,0,1,27,34,38,16,20,68,79,43,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53.75,67.7,26.58033,1,1,0.2111111,1820,1,0,1,0,6.97697190007712,-3.09238994157679,TRUE,FALSE
"66","HUN",9,NA,0.0650794,53.9,0,0,21.9,0,0,9,14,39,-23,8,71,88,47,81,0,0,0,0,0,0,100,100,1,0,0,0,0,14000,NA,NA,NA,NA,NA,0,0.5222222,1867,3,1,3,1,9.12369094098412,-1.32172714583041,FALSE,FALSE
"67","IDN",7.59090900421143,5.13579845428467,0.6905679,2.7,43.4,1,4.600001,0,0,28,33,37,19,21,90,95,61,75,0,0,0,0,0,0,0,0,0,0,0,0,0,29700,0.42594,65.13,48.4,26.8,0.74576,1,0.0555556,1945,1,0,NA,NA,8.41677444928041,-2.56581004039004,TRUE,FALSE
"68","IND",8.27272701263428,3.88424062728882,0.7421975,1.3,11.6,0,49.1,1,0,24,28,46,-1,22,35,80,19,64,1,0,0,0,0,0,0,0,0,0,5,0,7,6750,0.28107,62.59,72.3,25.9,0.156776,0,0.2222222,1947,6,5,NA,NA,7.36157742511597,-3.40731094304468,TRUE,FALSE
"69","IRL",9.72727298736572,NA,0.0903571,95.3,0,0,69.1,1,0,9,14,30,-12,3,75,88,75,88,0,0,0,0,0,0,100,NA,0,0,0,0,3,0,NA,NA,NA,NA,NA,0,0.5888889,1921,7,8,NA,NA,9.84803257144791,-0.670760917155657,FALSE,FALSE
"70","IRN",4.77272748947144,NA,NA,0.1,97.9,1,86,0,0,15,18,43,-21,15,47,77,39,75,1,1,0,0,0,0,0,0,0,0,0,0,1,1470,NA,NA,NA,NA,NA,0,0.3555556,1800,1,0,1,0,9.07998958788253,-2.0631249043736,FALSE,FALSE
"71","IRQ",1.63636362552643,NA,NA,1.8,95.8,1,3.599997,1,0,21,25,49,-8,18,32,84,12,52,1,0,0,0,0,0,0,0,0,0,0,0,0,5020000,NA,NA,NA,NA,NA,0,0.3666667,1924,3,1,NA,NA,8.46732098254241,-0.858162604779015,FALSE,FALSE
"72","ISL",9.72727298736572,NA,0.1,0.7,0,0,1.999998,0,0,5,10,23,-17,1,75,83,67,80,0,0,0,0,0,0,100,100,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0.7222222,NA,NA,NA,NA,NA,10.0829952310075,-0.462584897646471,FALSE,FALSE
"73","ISR",8.54545497894287,NA,0.3270557,1,8,0,2.399997,1,0,20,25,42,-3,11,47,77,32,66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0.3477778,1948,7,10,NA,NA,9.89845432108783,-0.558767564256633,FALSE,FALSE
"74","ITA",9.45454502105713,NA,0.0388682,83.2,0.1,1,2.700001,0,0,17,19,40,-6,12,70,87,42,70,0,0,0,0,0,0,100,100,0,0,0,0,0,12900,NA,NA,NA,NA,NA,0,0.4722222,1861,7,1,7,1,10.01415909006,-0.440400648942186,FALSE,FALSE
"75","JAM",7.09090900421143,4.86753463745117,0.0125,9.6,0.1,0,90.8,1,0,26,33,36,14,20,77,88,61,73,0,0,0,0,0,0,10,1.89999997615814,0,0,0,0,0,0,0,74.82,21.9,26.5,1,1,0.2016667,1959,7,10,NA,NA,8.73796100584503,-2.00082263911065,TRUE,FALSE
"76","JOR",6.77272748947144,NA,0.0297194,1.7,93,1,16.3,1,0,19,24,43,-6,13,39,80,28,56,0,1,0,0,0,0,0,0,0,0,0,0,0,899,NA,NA,NA,NA,NA,0,0.3444445,1946,1,0,NA,NA,8.55833590440874,-1.44412254632446,FALSE,FALSE
"77","JPN",9.72727298736572,NA,0.0098803,0.6,0,0,34.8,0,0,15,22,38,-8,16,71,92,48,69,0,0,0,0,0,0,0,0,0,0,0,0,3,480,NA,NA,NA,NA,NA,0,0.4,1800,1,0,7,5,10.0606401419504,-0.724590060732673,FALSE,FALSE
"78","KAZ",NA,NA,NA,3,47,0,5,0,0,5,5,42,-33,10,58,91,34,80,0,0,1,1,0,0,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,0,0.5333334,1991,3,1,NA,NA,8.68690707777384,NA,FALSE,FALSE
"79","KEN",6.04545450210571,4.97673368453979,0.8269649,26.4,6,0,98.5,1,0,18,26,31,5,11,74,89,40,62,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.91,52.04,65.5,22.6,0.082504,1,0.0111111,1963,5,5,NA,NA,7.34000100437816,-2.82762803868649,TRUE,FALSE
"80","KGZ",NA,NA,NA,0,70,0,48,0,0,2,12,38,-34,7,65,87,39,72,1,0,0,0,0,0,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,0,0.4555556,1991,4,1,NA,NA,7.24606810345055,NA,FALSE,FALSE
"81","KOR",8.6363639831543,4.77068471908569,0,3.9,0,0,5.700001,0,0,11,12,37,-24,14,77,91,46,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0.4111111,1948,3,1,NA,NA,9.51029517854064,-1.31162665901674,FALSE,FALSE
"82","KWT",7.04545450210571,NA,NA,2.1,95.1,1,39.8,1,0,25,26,48,1,26,45,77,41,65,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0.3255555,1963,3,0,NA,NA,11.0009390421032,-0.452956721574374,FALSE,FALSE
"83","LAO",NA,4.94164228439331,0.25,0.8,1,0,83.9,0,1,26,33,40,4,21,71,87,71,87,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,1,0.2,1953,5,4,NA,NA,7.22493893478853,-3.70164769647699,FALSE,FALSE
"84","LBR",3.63636374473572,6.18001651763916,0.8030553,1.9,21.2,0,98,0,0,25,29,34,13,20,87,95,76,86,0,0,0,0,0,0,0,0,0,0,0.800000011920929,0,0,0,NA,NA,NA,NA,NA,1,0.07,1847,7,7,4,1,NA,-2.83031719411311,FALSE,FALSE
"85","LBY",5.27272748947144,NA,0.1214057,0.2,98.1,1,25.4,0,0,24,28,46,1,17,54,72,53,72,0,1,0,0,0,0,0,0,0,0,0,0,0,4500000,NA,NA,NA,NA,NA,0,0.2777778,1951,3,0,NA,NA,NA,NA,FALSE,FALSE
"86","LKA",6.04545450210571,4.24563407897949,0.3257469,6.8,7.2,0,5.399997,1,0,27,31,36,15,22,71,80,66,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,73.11,17.6,27.6,0.99362,1,0.0777778,1948,7,7,NA,NA,8.07589630091343,-2.28615289473324,TRUE,FALSE
"87","LSO",NA,NA,0.2097619,43.5,0,0,1.399999,1,0,16,23,38,-9,6,51,75,25,42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,1,0.3255555,1966,5,5,NA,NA,6.97242445430013,-3.28131367834401,FALSE,FALSE
"88","LTU",NA,NA,NA,80,0,0,85.6,0,0,5,7,33,-33,5,70,91,58,89,0,0,0,0,0,0,100,100,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0.6222222,1918,7,7,NA,NA,8.68543512807472,NA,FALSE,FALSE
"89","LUX",10,NA,0.2166667,93,0,1,26.7,0,0,9,11,37,-20,5,85,95,58,91,0,0,0,0,0,0,100,100,1,0,0,0,0,0,NA,NA,NA,NA,NA,0,0.5494444,NA,NA,NA,NA,NA,10.5866159351178,-0.140983697495632,FALSE,FALSE
"90","LVA",NA,NA,NA,18.2,0.01,0,NA,0,0,4,7,33,-33,5,70,91,58,89,0,0,0,0,0,0,100,100,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0.6333333,1920,7,7,NA,NA,8.61269489922643,NA,FALSE,FALSE
"91","MAR",7.09090900421143,4.35926961898804,0.3479719,0.2,99.4,1,67.69,0,1,24,27,48,0,12,87,92,59,72,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,66.64,51,18.5,0.3677858,0,0.3555556,1800,1,1,1,1,7.96550418028546,-1.88951088688078,TRUE,FALSE
"92","MDA",NA,NA,NA,0,0,0,0.3999985,0,0,10,8,35,-25,9,69,92,50,84,0,0,0,0,0,0,100,100,1,0,0,0,0,0,NA,NA,NA,NA,NA,0,0.5222222,1991,5,5,NA,NA,8.06660785866972,NA,FALSE,FALSE
"93","MDG",4.45454549789429,6.28420877456665,0.0627486,26,1.7,1,4.700003,0,1,18,27,35,1,12,85,94,49,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57.51,82.5,23.3,0.570964,1,0.2222222,1960,3,2,NA,NA,7.05555299909634,-3.39316232713924,TRUE,FALSE
"94","MEX",7.5,4.26268005371094,0.1740741,94.7,0,1,50.3,0,0,16,23,32,-3,9,66,86,26,54,0,1,0,0,0,0,15.0000009536743,15.0000009536743,0,0,0,13,4,570000,0.00013,72.18,31,19,0.37255,1,0.2555556,1822,3,1,1,0,9.0457737709329,-1.04099438398429,TRUE,FALSE
"95","MKD",NA,NA,NA,0.5,30.1,0,4.100003,0,0,10,20,41,-22,7,70,94,46,76,0,0,0,0,0,0,100,100,1,0,0,0,0,0,NA,NA,NA,NA,NA,0,0.4611111,1991,5,6,NA,NA,8.50670351091297,NA,FALSE,FALSE
"96","MLI",4,7.98616504669189,0.8085691,0.7,80,1,NA,0,1,29,36,47,8,19,33,94,18,73,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0.62,53.3,118,29.3,0,1,0.1888889,1960,3,0,NA,NA,6.84069022253884,-3.72957625126389,TRUE,FALSE
"97","MLT",7.22727251052856,2.7911651134491,0.1033333,97.3,0,1,68.4,1,0,23,22,40,5,18,71,78,59,68,0,0,0,0,0,0,100,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0.3944444,NA,NA,NA,NA,NA,9.54374945122655,-1.01708707575366,TRUE,FALSE
"98","MMR",5.77272748947144,3.54385352134705,0.3839685,0.9,3.6,0,19.1,1,0,28,34,41,13,22,71,89,52,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,0.2444444,1948,7,7,NA,NA,6.3973519427363,-3.94076387815157,FALSE,FALSE
"99","MNG",7.36363649368286,NA,0.0737439,0,1.4,0,2.199997,0,0,-4,-6,36,-44,1,64,88,40,75,0,0,1,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,0,0.5111111,1924,3,0,NA,NA,8.04860803396976,-2.45132919758367,FALSE,FALSE
"100","MOZ",6.5,NA,0.7863327,31.4,13,1,98.6,0,0,27,34,46,7,17,65,75,57,67,1,0,0,0,0,0,3,2.5,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,0.2016667,1975,2,0,NA,NA,5.79155712239732,-4.20358244319381,FALSE,FALSE
"101","MRT",NA,5.63478946685791,0.27,0.3,99.4,1,NA,0,1,27,36,46,7,22,51,88,30,69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,0.2222222,1960,5,2,NA,NA,8.02656152886103,-2.02383528387849,FALSE,FALSE
"102","MUS",NA,3.41772675514221,0.7084848,31.2,16.4,1,0.2999985,1,0,23,27,35,10,18,80,90,56,74,0,0,0,0,0,0,5,5,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,0.2241111,1968,7,9,NA,NA,8.80769937373394,-1.28230407502097,FALSE,FALSE
"103","MWI",6.81818199157715,NA,0.6224373,27.6,16.2,0,2.2,1,0,19,28,34,-1,13,50,89,28,66,0,0,0,0,0,0,0,2.70000004768372,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,0.1477778,1964,1,0,NA,NA,6.37306133100689,-3.63251554538497,FALSE,FALSE
"104","MYS",7.95454549789429,2.87356472015381,0.6103704,2.8,49.4,0,51.5,1,0,28,35,37,18,21,95,97,58,66,0,0,0,0,0,0,0,0,0,0,0,0,0,192000,0.46662,72,11.4,26.7,0.794407,1,0.0255556,1957,6,7,NA,NA,9.27319993940623,-1.53487198992109,TRUE,FALSE
"105","NAM",NA,NA,0.7283334,19.1,0,0,46.4,1,0,18,25,36,-4,9,27,62,11,35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,0.2444444,1990,5,6,NA,NA,8.38985645899303,-1.49832406391001,FALSE,FALSE
"106","NER",5,5.99146461486816,0.7329143,0.2,87.9,1,16.7,0,1,29,38,46,8,19,26,91,11,68,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.66,48.5,115,28.4,0,1,0.1777778,1960,3,0,NA,NA,6.65311911838792,-3.51116143316204,TRUE,FALSE
"107","NGA",5.54545450210571,7.60290050506592,0.856709,12.1,45,0,5.4,1,0,28,34,40,16,21,81,87,65,80,1,0,0,0,1,0,0,0,0,0,0,0,0,168000,1,50.08,81.1,26.65065,0.097769,1,0.1111111,1960,7,8,NA,NA,7.63483234513882,-3.44514175402395,TRUE,FALSE
"108","NIC",5.22727251052856,5.09558916091919,0.0991796,94.7,0,1,11.9,0,0,27,31,34,20,23,80,92,44,70,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0.044,67.86,43.4,26.63333,0.632686,1,0.1444445,1838,1,1,1,1,7.68932711781079,-2.01071575183022,TRUE,FALSE
"109","NLD",10,NA,0.0634354,42.6,1,1,27.1,0,0,9,15,34,-20,6,78,89,65,85,0,0,0,0,0,0,100,100,0,0,0,0,0,9460,NA,NA,NA,NA,NA,0,0.5811111,1815,1,1,7,4,10.0600350703003,-0.51041204522839,FALSE,FALSE
"110","NOR",9.95454502105713,NA,0.0698837,0.3,0.1,0,0.900003,0,0,5,11,34,-26,4,68,88,52,85,0,0,0,0,0,0,100,100,0,0,0,0,0,2040000,NA,NA,NA,NA,NA,0,0.6888889,1814,3,0,7,10,10.0983039795129,-0.615755919239617,FALSE,FALSE
"111","NPL",NA,NA,0.45,0,3,0,14,1,0,17,24,36,-2,18,68,90,53,84,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,1,0.3111111,1800,1,1,1,1,6.99810186044764,-3.67053371030878,FALSE,FALSE
"112","NZL",9.72727298736572,2.14593124389648,0.1475699,18.7,0,0,1.800005,1,0,15,19,31,-2,5,73,81,67,78,0,0,0,0,0,0,91.6999969482422,93,0,0,0,0,0,48300,0,76.9,6.8,12.8,0.959488,0,0.4555556,1857,7,10,7,10,9.7930463324497,-0.725662053308741,TRUE,TRUE
"113","OMN",7.13636350631714,NA,NA,0.1,98.9,1,97,0,0,29,31,47,11,26,58,82,60,80,0,0,0,0,0,0,0,0,0,0,0,0,0,2670000,NA,NA,NA,NA,NA,0,0.2333333,1800,1,0,1,0,10.2604744801767,-1.01672062505312,FALSE,FALSE
"114","PAK",6.04545450210571,3.61064767837524,0.6215599,0.5,96.8,0,43.4,1,0,22,24,48,-4,17,19,54,19,54,1,1,0,0,0,0,0,0,0,0,0,0,0,3220,0.52671,63.95,74.1,13.5,0.094196,1,0.3333333,1972,7,8,NA,NA,7.76955287143608,-2.32927987026257,TRUE,FALSE
"115","PAN",5.90909099578857,5.09558916091919,0.1908333,85,4.5,1,0.8999985,0,0,27,34,36,17,21,81,91,78,92,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0.138,73.6,21.4,27.5,1,1,0.1,1903,3,0,NA,NA,8.8114404819049,-1.42957787075606,TRUE,FALSE
"116","PER",5.77272748947144,4.26268005371094,0.4315909,95.1,0,1,1.899997,0,0,22,26,34,9,16,92,95,64,80,0,1,0,0,0,0,30.0000019073486,30.0000019073486,0,0,0,9,5,16600,0.00205,68.32,45,20.5,0.173208,0,0.1111111,1821,1,1,3,4,8.40025716976385,-2.03108075462577,TRUE,FALSE
"117","PHL",5.45454549789429,NA,0.7238207,84.1,4.3,1,5.3,0,0,27,34,38,14,22,85,93,55,74,0,0,0,0,0,0,1,1,0,0,0,0,0,2220,NA,NA,NA,NA,NA,0,0.1444445,1935,3,6,NA,NA,7.99630783031751,-2.33855538279447,FALSE,FALSE
"118","PNG",7.27272748947144,5.13579845428467,0.8027273,32.8,0,0,2.200001,1,0,28,32,37,18,21,72,78,69,78,0,0,0,0,0,0,0,0,0,0,0,0,0,81500,NA,NA,NA,NA,NA,0,0.0666667,1975,5,4,NA,NA,7.68844018111594,NA,FALSE,FALSE
"119","POL",7.68181800842285,NA,0.0390492,81,0,0,7.800001,0,0,7,11,35,-29,7,80,93,56,87,0,0,0,0,0,0,100,100,0,0,0,0,2,1100,NA,NA,NA,NA,NA,0,0.5777778,1918,7,8,NA,NA,8.9446371841197,-1.49845020655572,FALSE,FALSE
"120","PRK",NA,NA,NA,0,0,0,18.9,0,0,9,-3,29,-13,20,63,80,63,80,0,0,0,0,0,0,0,0,0,0,0,0,3,0,NA,NA,NA,NA,NA,0,0.4444444,1948,3,0,NA,NA,NA,NA,FALSE,FALSE
"121","PRT",9.18181800842285,NA,0.0025,94.1,0,1,3.4,0,0,20,21,40,-1,13,62,85,48,72,0,0,0,0,0,0,100,100,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0.4366667,1800,1,0,5,2,9.57301466625627,-1.1464606573092,FALSE,FALSE
"122","PRY",6.95454549789429,4.35799026489258,0.4111111,96,0,1,100,0,0,22,37,43,-2,12,73,89,48,62,0,0,0,0,0,0,25,25,1,0,0,0,0,0,0.0051,69.61,39.2,23,0,0,0.2555556,1811,1,0,2,1,8.80774133056191,-2.07507493824959,TRUE,FALSE
"123","QAT",7.72727251052856,NA,NA,1.2,92.4,1,2.1,1,0,26,29,48,3,23,61,82,59,65,0,0,0,0,0,0,0,0,0,0,0,0,0,7630000,NA,NA,NA,NA,NA,0,0.2811111,1971,1,0,NA,NA,NA,-0.772251554681317,FALSE,FALSE
"124","ROM",7.27272748947144,NA,0.1220442,4.9,1.2,0,5.499999,0,0,8,16,41,-32,8,58,89,58,89,0,0,0,0,0,0,100,100,0,0,0,0,0,68000,NA,NA,NA,NA,NA,0,0.5111111,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"125","RUS",8.45454502105713,NA,NA,1.4,11.3,0,0.9999969,0,0,3,2,32,-32,5,58,87,43,83,0,0,1,1,0,0,100,100,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0.6666667,1800,1,0,1,0,8.63289061319327,NA,FALSE,FALSE
"126","RWA",NA,5.63478946685791,0.0608621,55.6,8.6,1,88.1,0,0,20,24,27,12,14,59,83,59,83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,1,0.0222222,1961,1,1,NA,NA,6.23003198011643,-3.63549269236697,FALSE,FALSE
"127","SAU",7.59090900421143,NA,NA,0.1,98.8,0,87.3,0,0,23,30,45,-7,19,33,65,19,44,0,1,0,0,0,0,0,0,0,0,0,0,0,15700000,NA,NA,NA,NA,NA,0,0.2777778,1926,1,0,NA,NA,10.5320569486743,-0.534281150338093,FALSE,FALSE
"128","SDN",4,4.47960710525513,0.51218,4.4,73,0,24.2,1,0,29,40,48,5,19,18,67,10,41,0,1,0,0,1,0,0,0,0,0,0,0,0,10900,0.81,54.97,70.9,28.5,0.02323,1,0.1666667,1956,7,7,NA,NA,7.27018473716417,-2.40636098990668,TRUE,FALSE
"129","SEN",6,5.10388278961182,0.7788682,5.6,91,1,0.999997,0,1,28,35,43,12,21,70,88,45,74,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,52.32,63.2,27.2,0.244762,1,0.1555556,1960,3,3,NA,NA,7.40733565918748,-2.44077690124257,TRUE,FALSE
"130","SGP",9.31818199157715,2.87356472015381,0.3215287,4.7,17.4,0,22.5,1,0,28,33,36,19,21,76,82,70,78,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,77.1,4.9,27.1,1,1,0.0135556,1965,3,0,NA,NA,10.4667981375694,-0.923807850414609,TRUE,FALSE
"131","SLE",5.81818199157715,6.18001651763916,0.8129566,2.2,39.4,0,75.3,1,0,25,31,33,13,20,73,83,70,79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.24,170,26.2,0.466186,1,0.0922222,1961,5,6,NA,NA,6.50240567175372,-3.21509531262753,TRUE,FALSE
"132","SLV",5,4.35799026489258,0.0514286,96.2,0,1,41.1,0,0,9,20,42,-25,8,71,85,46,76,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,69.13,32,23.57101,1,1,0.15,1841,3,1,3,1,8.26451680310379,-3.25258966407149,TRUE,FALSE
"133","SOM",3,NA,0.079116,0,99.8,0,53.6,1,0,28,30,36,15,21,78,85,75,80,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,0.1111111,1960,7,7,NA,NA,NA,NA,FALSE,FALSE
"134","STP",8.40909099578857,NA,0,92.4,0,1,1.400003,0,0,19,22,44,-6,15,51,83,34,66,0,0,0,0,0,0,100,100,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,0.0111111,NA,NA,NA,NA,NA,NA,-2.76894414184517,FALSE,FALSE
"135","SUR",4.68181800842285,3.47134518623352,0.75,36,13,1,0.1999969,0,0,27,33,37,17,19,87,92,66,80,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,0.0444444,1975,5,5,NA,NA,8.82649741888217,-1.15276819016673,FALSE,FALSE
"136","SVK",NA,NA,NA,74,0,0,5.399999,0,0,6,10,39,-27,4,74,90,51,82,0,0,0,0,0,0,100,100,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0.5377778,1993,6,7,NA,NA,9.06837446410807,NA,FALSE,FALSE
"137","SVN",NA,NA,NA,71.4,1.5,0,14.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5111111,1991,7,10,NA,NA,9.51743629873625,NA,FALSE,FALSE
"138","SWE",9.5,NA,0.0650368,1.4,0.1,0,17.6,0,0,6,10,35,-28,8,66,89,53,86,0,0,0,0,0,0,100,100,0,0,3,0,0,0,NA,NA,NA,NA,NA,0,0.6888889,1800,1,0,5,2,10.0454368964845,-0.612003348647667,FALSE,FALSE
"139","SWZ",NA,NA,0,10.8,0.1,0,27.1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.2922222,1968,2,0,NA,NA,8.31800509372683,-1.34717824305753,FALSE,FALSE
"140","SYR",5.81818199157715,NA,0.094792,1.3,89.6,1,55.2,0,1,20,21,45,-6,13,43,81,19,59,0,1,0,0,0,0,0,0,0,0,0,0,0,123000,NA,NA,NA,NA,NA,0,0.3888889,1946,5,4,NA,NA,NA,-2.78163952178256,FALSE,FALSE
"141","TCD",NA,5.63478946685791,0.6662003,21,44,1,9.299997,0,1,28,36,46,8,19,32,93,10,72,0,1,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,1,0.1666667,1960,3,0,NA,NA,6.60492360348744,-3.44921117524572,FALSE,FALSE
"142","TGO",6.90909099578857,6.50428819656372,0.7284868,29.3,17,1,8.900002,0,1,27,32,38,15,21,95,97,61,77,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,48.84,83.9,26.8,0.16769,1,0.0888889,1960,3,0,NA,NA,6.73743604583903,-3.18368508488897,TRUE,FALSE
"143","THA",7.63636350631714,4.94164228439331,0.3569488,0.4,3.9,0,23.4,0,0,28,37,41,11,22,90,94,53,70,0,0,0,0,0,0,0,0,0,0,0,0,0,4260,NA,NA,NA,NA,NA,0,0.1666667,1800,1,0,1,0,8.83416146765736,-2.36459089261655,FALSE,FALSE
