shortnam;avexpr;logem4;avelf;protmg80;no_cpm80;catho80;muslim80;legor_fr;f_brit;f_french;temp1;temp2;temp3;temp4;temp5;humid1;humid2;humid3;humid4;steplow;deslow;stepmid;desmid;drystep;drywint;edes1975;euro1900;landlock;goldm;iron;silv;zinc;oilres;malfal94;leb95;imr95;meantemp;lt100km;yellow;lat_abst;ind_time;exconst_01;democ_01;exconst_00;democ_00;exconst_70;exconst_90;logpgp95;loghjypl;baseco;neo_europe;africa;asia
MMR;5,772727489;3,543853521;0,3839685;0,2;19,1;0,9;3,6;0;1;0;28;34;41;13;22;71;89;52;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,496079981;NA;NA;NA;NA;1;0,2444444;1948;7;7;1;1;1;2;6,397351943;-3,940763878;0;0;0;1
MNG;7,363636494;NA;0,0737439;0,5;2,199997;0;1,4;0;0;0;-4;-6;36;-44;1;64;88;40;75;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;NA;NA;NA;NA;0;0,5111111;1924;3;0;1;1;3;3;8,048608034;-2,451329198;0;0;0;1
MOZ;6,5;NA;0,7863327;0;98,6;31,4;13;1;0;0;27;34;46;7;17;65;75;57;67;1;0;0;0;0;0;3;2,5;0;0;0;0;0;0;1;NA;NA;NA;NA;1;0,2016667;1975;2;0;1;1;1;3;5,791557122;-4,203582443;0;0;1;0
MRT;NA;5,634789467;0,27;;NA;0,3;99,4;1;0;1;27;36;46;7;22;51;88;30;69;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;1;0,2222222;1960;5;2;1;1;3;3;8,026561529;-2,023835284;0;0;1;0
MUS;NA;3,417726755;0,7084848;0;0,2999985;31,2;16,4;1;1;0;23;27;35;10;18;80;90;56;74;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;NA;NA;NA;NA;1;0,2241111;1968;7;9;1;1;7;7;8,807699374;-1,282304075;0;0;1;0
MWI;6,818181992;NA;0,6224373;2,2;2,2;27,6;16,2;0;1;0;19;28;34;-1;13;50;89;28;66;0;0;0;0;0;0;0;2,700000048;0;0;0;0;0;0;1;NA;NA;NA;NA;1;0,1477778;1964;1;0;1;1;1;1;6,373061331;-3,632515545;0;0;1;0
MYS;7,954545498;2,87356472;0,6103704;0,9;51,5;2,8;49,4;0;1;0;28;35;37;18;21;95;97;58;66;0;0;0;0;0;0;0;0;0;0;0;0;0;192000;0,466619998;72;11,4;26,7;0,794407;1;0,0255556;1957;6;7;1;1;3;5;9,273199939;-1,53487199;1;0;0;1
NAM;NA;NA;0,7283334;1,4;46,4;19,1;0;0;1;0;18;25;36;-4;9;27;62;11;35;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0,239999995;NA;NA;NA;NA;1;0,2444444;1990;5;6;1;1;1;5;8,389856459;-1,498324064;0;0;1;0
NER;5;5,991464615;0,7329143;64,2;16,7;0,2;87,9;1;0;1;29;38;46;8;19;26;91;11;68;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0,660000026;48,5;115;28,4;0;1;0,1777778;1960;3;0;1;1;3;2;6,653119118;-3,511161433;1;0;1;0
NGA;5,545454502;7,602900505;0,856709;18,1;5,4;12,1;45;0;1;0;28;34;40;16;21;81;87;65;80;1;0;0;0;1;0;0;0;0;0;0;0;0;168000;1;50,08;81,1;26,65065;0,097769;1;0,1111111;1960;7;8;1;1;1;1;7,634832345;-3,445141754;1;0;1;0
NIC;5,227272511;5,095589161;0,0991796;0;11,9;94,7;0;1;0;0;27;31;34;20;23;80;92;44;70;0;0;0;0;0;0;20;20;0;0;0;0;0;0;0,044;67,86;43,4;26,63333;0,632686;1;0,1444445;1838;1;1;1;1;1;3;7,689327118;-2,010715752;1;0;0;0
NLD;10;NA;0,0634354;15,8;27,1;42,6;1;1;0;0;9;15;34;-20;6;78;89;65;85;0;0;0;0;0;0;100;100;0;0;0;0;0;9460;0;NA;NA;NA;NA;0;0,5811111;1815;1;1;7;4;7;7;10,06003507;-0,510412045;0;0;0;0
NOR;9,954545021;NA;0,0698837;4,4;0,900003;0,3;0,1;0;0;0;5;11;34;-26;4;68;88;52;85;0;0;0;0;0;0;100;100;0;0;0;0;0;2040000;0;NA;NA;NA;NA;0;0,6888889;1814;3;0;7;10;7;7;10,09830398;-0,615755919;0;0;0;0
NPL;NA;NA;0,45;42,4;14;0;3;0;1;0;17;24;36;-2;18;68;90;53;84;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0,046980001;NA;NA;NA;NA;1;0,3111111;1800;1;1;1;1;2;3;6,99810186;-3,67053371;0;0;0;1
NZL;9,727272987;2,145931244;0,1475699;97,8;1,800005;18,7;0;0;1;0;15;19;31;-2;5;73;81;67;78;0;0;0;0;0;0;91,69999695;93;0;0;0;0;0;48300;0;76,9;6,8;12,8;0,959488;0;0,4555556;1857;7;10;7;10;7;7;9,793046332;-0,725662053;1;1;0;0
OMN;7,136363506;NA;NA;0;97;0,1;98,9;1;0;0;29;31;47;11;26;58;82;60;80;0;0;0;0;0;0;0;0;0;0;0;0;0;2670000;0,586520016;NA;NA;NA;NA;0;0,2333333;1800;1;0;1;0;1;1;10,26047448;-1,016720625;0;0;0;1
PAK;6,045454502;3,610647678;0,6215599;37,9;43,4;0,5;96,8;0;1;0;22;24;48;-4;17;19;54;19;54;1;1;0;0;0;0;0;0;0;0;0;0;0;3220;0,526710033;63,95;74,1;13,5;0,094196;1;0,3333333;1972;7;8;1;1;1;7;7,769552871;-2,32927987;1;0;0;1
PAN;5,909090996;5,095589161;0,1908333;0,1;0,8999985;85;4,5;1;0;0;27;34;36;17;21;81;91;78;92;0;0;0;0;0;0;20;20;0;0;0;0;0;0;0,137999997;73,6;21,4;27,5;1;1;0,1;1903;3;0;1;1;1;6;8,811440482;-1,429577871;1;0;0;0
PER;5,772727489;4,262680054;0,4315909;0,8;1,899997;95,1;0;1;0;0;22;26;34;9;16;92;95;64;80;0;1;0;0;0;0;30,00000191;30,00000191;0;0;0;9;5;16600;0,00205;68,32;45;20,5;0,173208;0;0,1111111;1821;1;1;3;4;1;6;8,40025717;-2,031080755;1;0;0;0
PHL;5,454545498;NA;0,7238207;5,2;5,3;84,1;4,3;1;0;0;27;34;38;14;22;85;93;55;74;0;0;0;0;0;0;1;1;0;0;0;0;0;2220;0,616999984;NA;NA;NA;NA;0;0,1444445;1935;3;6;1;1;3;7;7,99630783;-2,338555383;0;0;0;1
PNG;7,272727489;5,135798454;0,8027273;2,7;2,200001;32,8;0;0;1;0;28;32;37;18;21;72;78;69;78;0;0;0;0;0;0;0;0;0;0;0;0;0;81500;0,790000021;NA;NA;NA;NA;0;0,0666667;1975;5;4;1;1;1;5;7,688440181;NA;0;0;0;1
POL;7,681818008;NA;0,0390492;3,8;7,800001;81;0;0;0;0;7;11;35;-29;7;80;93;56;87;0;0;0;0;0;0;100;100;0;0;0;0;2;1100;0;NA;NA;NA;NA;0;0,5777778;1918;7;8;1;1;3;4;8,944637184;-1,498450207;0;0;0;0
PRK;NA;NA;NA;0,1;18,9;0;0;0;0;0;9;-3;29;-13;20;63;80;63;80;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;NA;NA;NA;NA;0;0,4444444;1948;3;0;1;1;1;1;NA;NA;0;0;0;0
PRT;9,181818008;NA;0,0025;5,1;3,4;94,1;0;1;0;0;20;21;40;-1;13;62;85;48;72;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;NA;NA;NA;NA;0;0,4366667;1800;1;0;5;2;1;7;9,573014666;-1,146460657;0;0;0;0
PRY;6,954545498;4,357990265;0,4111111;0;100;96;0;1;0;0;22;37;43;-2;12;73;89;48;62;0;0;0;0;0;0;25;25;1;0;0;0;0;0;0,0051;69,61;39,2;23;0;0;0,2555556;1811;1;0;2;1;1;3;8,807741331;-2,075074938;1;0;0;0
QAT;7,727272511;NA;NA;1,9;2,1;1,2;92,4;1;1;0;26;29;48;3;23;61;82;59;65;0;0;0;0;0;0;0;0;0;0;0;0;0;7630000;NA;NA;NA;NA;NA;0;0,2811111;1971;1;0;1;1;1;1;NA;-0,772251555;0;0;0;1
ROM;7,272727489;NA;0,1220442;0,9;5,499999;4,9;1,2;0;0;0;8;16;41;-32;8;58;89;58;89;0;0;0;0;0;0;100;100;0;0;0;0;0;68000;0;NA;NA;NA;NA;0;0,5111111;1859;5;3;3;0;3;0;NA;NA;0;0;0;0
RUS;8,454545021;NA;NA;0,5;0,9999969;1,4;11,3;0;0;0;3;2;32;-32;5;58;87;43;83;0;0;1;1;0;0;100;100;0;0;0;0;0;NA;0;NA;NA;NA;NA;0;0,6666667;1800;1;0;1;0;3;5;8,632890613;NA;0;0;0;0
RWA;NA;5,634789467;0,0608621;5,8;88,1;55,6;8,6;1;0;0;20;24;27;12;14;59;83;59;83;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;NA;NA;NA;NA;1;0,0222222;1961;1;1;1;1;1;1;6,23003198;-3,635492692;0;0;1;0
SAU;7,590909004;NA;NA;0;87,3;0,1;98,8;0;0;0;23;30;45;-7;19;33;65;19;44;0;1;0;0;0;0;0;0;0;0;0;0;0;15700000;0,028619999;NA;NA;NA;NA;0;0,2777778;1926;1;0;1;1;1;1;10,53205695;-0,53428115;0;0;0;1
SDN;4;4,479607105;0,51218;11,6;24,2;4,4;73;0;1;0;29;40;48;5;19;18;67;10;41;0;1;0;0;1;0;0;0;0;0;0;0;0;10900;0,810000002;54,97;70,9;28,5;0,02323;1;0,1666667;1956;7;7;1;1;1;1;7,270184737;-2,40636099;1;0;1;0
SEN;6;5,10388279;0,7788682;0,1;0,999997;5,6;91;1;0;1;28;35;43;12;21;70;88;45;74;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;52,32;63,2;27,2;0,244762;1;0,1555556;1960;3;3;1;1;3;3;7,407335659;-2,440776901;1;0;1;0
SGP;9,318181992;2,87356472;0,3215287;0,1;22,5;4,7;17,4;0;1;0;28;33;36;19;21;76;82;70;78;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;77,1;4,9;27,1;1;1;0,0135556;1965;3;0;1;1;3;3;10,46679814;-0,92380785;1;0;0;1
SLE;5,818181992;6,180016518;0,8129566;2,6;75,3;2,2;39,4;0;1;0;25;31;33;13;20;73;83;70;79;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;37,24;170;26,2;0,466186;1;0,0922222;1961;5;6;1;1;4;3;6,502405672;-3,215095313;1;0;1;0
SLV;5;4,357990265;0,0514286;39,8;41,1;96,2;0;1;0;0;9;20;42;-25;8;71;85;46;76;0;0;0;0;0;0;20;20;0;0;0;0;0;0;0;69,13;32;23,57101;1;1;0,15;1841;3;1;3;1;3;5;8,264516803;-3,252589664;1;0;0;0
SOM;3;NA;0,079116;4,8;53,6;0;99,8;0;1;0;28;30;36;15;21;78;85;75;80;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;NA;NA;NA;NA;1;0,1111111;1960;7;7;1;1;1;1;NA;NA;0;0;1;0
STP;8,409090996;NA;0;2,4;1,400003;92,4;0;1;0;0;19;22;44;-6;15;51;83;34;66;0;0;0;0;0;0;100;100;0;0;0;0;0;0;NA;NA;NA;NA;NA;1;0,0111111;NA;NA;NA;NA;NA;NA;NA;NA;-2,768944142;0;0;0;0
SUR;4,681818008;3,471345186;0,75;0;0,1999969;36;13;1;0;0;27;33;37;17;19;87;92;66;80;0;0;0;0;0;0;1;1;0;0;0;0;0;0;NA;NA;NA;NA;NA;1;0,0444444;1975;5;5;1;1;1;3;8,826497419;-1,15276819;0;0;0;0
SVK;NA;NA;NA;2,2;5,399999;74;0;0;0;0;6;10;39;-27;4;74;90;51;82;0;0;0;0;0;0;100;100;1;0;0;0;0;NA;0;NA;NA;NA;NA;0;0,5377778;1993;6;7;1;1;1;1;9,068374464;NA;0;0;0;0
SVN;NA;NA;NA;36,6;14,4;71,4;1,5;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;NA;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;0,5111111;1991;7;10;1;1;1;1;9,517436299;NA;0;0;0;0
SWE;9,5;NA;0,0650368;8,4;17,6;1,4;0,1;0;0;0;6;10;35;-28;8;66;89;53;86;0;0;0;0;0;0;100;100;0;0;3;0;0;0;0;NA;NA;NA;NA;0;0,6888889;1800;1;0;5;2;7;7;10,0454369;-0,612003349;0;0;0;0
SWZ;NA;NA;0;0;27,1;10,8;0,1;0;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0,2922222;NA;NA;NA;NA;NA;NA;NA;8,318005094;-1,347178243;0;0;1;0
SYR;5,818181992;NA;0,094792;33,9;55,2;1,3;89,6;1;0;1;20;21;45;-6;13;43;81;19;59;0;1;0;0;0;0;0;0;0;0;0;0;0;123000;0,0616;NA;NA;NA;NA;0;0,3888889;1946;5;4;1;1;1;1;NA;-2,781639522;0;0;0;1
TCD;NA;5,634789467;0,6662003;1,1;9,299997;21;44;1;0;1;28;36;46;8;19;32;93;10;72;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0,699999988;NA;NA;NA;NA;1;0,1666667;1960;3;0;1;1;3;1;6,604923603;-3,449211175;0;0;1;0
TGO;6,909090996;6,504288197;0,7284868;0,2;8,900002;29,3;17;1;0;1;27;32;38;15;21;95;97;61;77;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;48,84;83,9;26,8;0,16769;1;0,0888889;1960;3;0;1;1;1;1;6,737436046;-3,183685085;1;0;1;0
THA;7,636363506;4,941642284;0,3569488;11,6;23,4;0,4;3,9;0;0;0;28;37;41;11;22;90;94;53;70;0;0;0;0;0;0;0;0;0;0;0;0;0;4260;0,470640004;NA;NA;NA;NA;0;0,1666667;1800;1;0;1;0;3;3;8,834161468;-2,364590893;0;0;0;1
TJK;NA;NA;NA;6,1;47,6;0;85;0;0;0;13;19;41;-28;9;59;82;32;63;1;1;0;0;0;0;NA;NA;1;0;0;0;0;0;0;NA;NA;NA;NA;0;0,4333333;1991;3;1;1;1;1;1;6,945738207;NA;0;0;0;1
TKM;NA;NA;NA;0,2;95,5;0;87;0;0;0;14;16;42;-17;14;52;77;41;69;1;0;0;0;0;0;NA;NA;1;0;0;0;0;0;0;NA;NA;NA;NA;0;0,4444444;1991;2;0;1;1;1;1;8,12999677;NA;0;0;0;1
TTO;7,454545498;4,442651272;0,2312698;0;13;35,8;6,5;0;1;0;26;35;38;11;16;83;89;61;76;0;0;0;0;0;0;40;40;0;0;0;0;0;442000;0;73,8;14,5;25,9;1;1;0,1222222;1962;5;4;1;1;5;7;9,149069625;-0,900803848;1;0;0;0
TUN;6,454545498;4,143134594;0,0702522;61,9;20,2;0,1;99,4;1;0;1;24;25;48;-1;11;72;86;40;64;1;0;0;0;0;0;0;3;0;0;0;0;0;198000;0;69,5;30,3;19,6;0,479655;0;0,3777778;1956;3;1;1;1;1;2;8,401510455;-1,616258781;1;0;1;0
TUR;7,454545498;NA;0,1635684;13,2;44,5;0,1;99,2;1;0;0;9;15;38;-25;7;54;86;25;71;0;1;0;0;0;0;0;0;0;0;0;0;0;7970;0;NA;NA;NA;NA;0;0,4333333;1800;1;0;1;0;6;7;9,24710931;-1,139021933;0;0;0;1
TWN;9,227272987;NA;NA;;NA;NA;NA;NA;NA;NA;21;30;38;0;19;90;93;62;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;0;NA;1949;2;0;1;1;2;3;NA;-0,819134884;0;0;0;1
TZA;6,636363506;5,634789467;0,8902469;0;0,4999985;28,2;32,5;0;0;0;22;31;36;8;16;70;84;36;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;47,92;81,5;25,09024;0,088189;1;0,0666667;1961;3;0;1;1;3;3;6,914454053;-3,637607579;1;0;1;0
UGA;4,454545498;5,634789467;0,8357907;0;0,700003;49,6;6,6;0;1;0;24;29;36;12;15;78;89;54;72;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;39,64;107;21,57432;0;1;0,0111111;1962;7;7;1;1;3;1;6,807684284;-3,431945144;1;0;1;0
UKR;NA;NA;NA;11,2;28,1;0;0;0;0;0;5;8;35;-25;9;69;92;50;84;0;0;0;0;0;0;100;100;0;0;0;0;0;NA;0;NA;NA;NA;NA;0;0,5444444;1991;6;6;1;1;1;1;8,29079577;NA;0;0;0;0
URY;7;4,262680054;0,0666667;1,9;41,9;59,5;0;1;0;0;20;26;43;-4;8;73;89;52;69;0;0;0;0;0;0;90;60,00000381;0;0;0;0;0;0;0;73,93;17,5;18,4;0,312329;0;0,3666667;1830;1;1;1;1;5;7;9,040403912;-1,394451487;1;0;0;0
USA;10;2,708050251;0,2090314;0;100;30;0,8;0;1;0;27;32;37;15;21;62;70;59;68;0;0;0;0;0;0;83,6000061;87,5;0;11;6;11;13;95700;0;76,7;7,1;11,2;0,111732;1;0,4222222;1776;5;2;7;9;7;7;10,26433443;-0,2432883;1;1;0;0
UZB;NA;NA;NA;1,9;38,6;0;88;0;0;0;13;16;42;-17;14;52;77;41;69;0;1;0;0;0;0;NA;NA;0;0;0;0;0;0;0;NA;NA;NA;NA;0;0,4555556;1991;1;0;1;1;1;1;7,627911566;NA;0;0;0;1
VEN;7,136363506;4,357990265;0,0525;0;12;94,8;0;1;0;0;20;28;33;7;12;78;84;60;63;1;1;0;0;0;0;20;20;0;0;2;0;0;3040000;0,0704;72,41;20,9;14,8;0,24409;1;0,0888889;1830;1;1;3;1;6;6;9,349417757;-1,317474884;1;0;0;0
VNM;6,409090996;4,941642284;0,1176471;1;4,199997;3,9;1;0;0;1;25;33;43;6;22;74;83;67;76;0;0;0;0;0;0;0;0;0;0;0;0;0;7140;0,74000001;67,39;38,2;25,55714;0,570282;1;0,1777778;1954;3;0;1;1;1;3;7,240263569;-3,498158062;1;0;0;1
YEM;6,363636494;NA;0,0122;0,2;3,899997;0;99,5;1;0;0;30;31;41;19;24;63;79;52;69;0;0;0;0;0;0;0;0;0;0;0;0;0;309000;0,673080027;NA;NA;NA;NA;0;0,1666667;1990;2;1;1;1;1;1;7,813277999;NA;0;0;0;1
YUG;6,318181992;NA;0,2777778;76,3;2,400005;4;19;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;100;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;0,4888889;1991;3;0;1;1;1;1;NA;NA;0;0;0;0
ZAF;6,863636494;2,740839958;0,8309818;0,1;0,4;10,4;1,3;0;1;0;19;29;39;-2;7;71;91;54;67;1;0;0;0;0;1;16;22;0;47;4;0;2;0;0;54,73;59,2;17,7;0,19633;0;0,3222222;1910;7;7;1;1;7;7;8,812217982;-1,153590908;1;0;1;0
ZAR;3,5;5,480638981;0,8722529;1;76;48,4;1,4;1;0;0;25;32;36;14;19;88;95;61;73;0;0;0;0;0;0;0;8;0;0;0;0;3;4540;1;NA;NA;NA;NA;1;0;1960;1;1;1;1;1;1;NA;NA;1;0;1;0
ZMB;6,636363506;NA;0,8293977;39;49,3;26,2;0,3;0;1;0;21;28;38;4;14;39;85;19;71;1;0;0;0;0;0;0;3;1;0;0;0;0;0;1;NA;NA;NA;NA;1;0,1666667;1964;3;4;1;1;2;1;7,280425142;-2,765832796;0;0;1;0
ZWE;6;NA;0,5986364;29;21,2;14,4;0,9;0;1;0;18;26;35;0;9;43;77;26;57;1;0;0;0;0;0;4;7,199999809;0;0;0;0;0;0;0,699999988;NA;NA;NA;NA;1;0,2222222;1980;5;5;1;1;1;3;7,57203083;-2,235410714;0;0;1;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;145;;;;;;;;;;;;;;;;;;;
